Name	Mana Cost	Type	Rules Text	Flavor Text	Power	Toughness	Loyalty	Name 2	Mana Cost 2	Type 2	Rules Text 2	Flavor Text 2	Power 2	Toughness 2	Loyalty 2	
The Vidalian	5	Legendary Enchantment — Landmark 	​				3	
Spectral Deluge	4UU	Sorcery	Return each creature your opponents control with toughness X or less to its owner’s hand, where X is the number of Islands you control.\n Foretell 1UU (During your turn, you may pay 2 and exile this card from your hand face down. Cast it on a later turn for its foretell cost.)					
Boros Signet	2	Artifact	1, T: Add RW.					
Leering Emblem	2	Artifact — Equipment 	Whenever you cast a spell, equipped creature gets +2/+2 until end of turn.\n Equip 2					
Staff of the Storyteller	1W	Artifact	When this artifact enters, create a 1/1 white Spirit creature token with flying.\n Whenever you create one or more creature tokens, put a story counter on this artifact.\n W, T, Remove a story counter from this artifact: Draw a card.					
Sword of Once and Future	3	Artifact — Equipment 	Equipped creature gets +2/+2 and has protection from blue and from black.\n Whenever equipped creature deals combat damage to a player, surveil 2. Then you may cast an instant or sorcery spell with mana value 2 or less from your graveyard without paying its mana cost. If that spell would be put into your graveyard, exile it instead.\n Equip 2					
Arabella, Abandoned Doll	RW	Legendary Artifact Creature — Toy 	Whenever Arabella attacks, it deals X damage to each opponent and you gain X life, where X is the number of creatures you control with power 2 or less.		1	3		
Ardoz, Cobbler of War	1R	Legendary Creature — Goblin Shaman 	Haste\n Whenever Ardoz or another creature you control enters, that creature gets +2/+0 until end of turn.\n 3R: Create a 1/1 red Goblin creature token with haste. Activate only as a sorcery.		1	1		
Detective's Phoenix	2R	Enchantment Creature — Phoenix 	Bestow—R, Collect evidence 6. (To pay this bestow cost, pay R and exile cards with total mana value 6 or greater from your graveyard.)\n Flying, haste\n Enchanted creature gets +2/+2 and has flying and haste.\n You may cast this card from your graveyard using its bestow ability.		2	2		
Devilish Valet	2R	Creature — Devil Warrior 	Trample, haste\n Alliance — Whenever another creature you control enters, double this creature’s power until end of turn.		1	3		
Dreadhorde Arcanist	1R	Creature — Zombie Wizard 	Trample\n Whenever this creature attacks, you may cast target instant or sorcery card with mana value less than or equal to this creature’s power from your graveyard without paying its mana cost. If that spell would be put into your graveyard, exile it instead.		1	3		
Enduring Courage	2RR	Enchantment Creature — Dog Glimmer 	Whenever another creature you control enters, it gets +2/+0 and gains haste until end of turn.\n When this creature dies, if it was a creature, return it to the battlefield under its owner’s control. It’s an enchantment. (It’s not a creature.)		3	3		
Enduring Innocence	1WW	Enchantment Creature — Sheep Glimmer 	Lifelink\n Whenever one or more other creatures you control with power 2 or less enter, draw a card. This ability triggers only once each turn.\n When this creature dies, if it was a creature, return it to the battlefield under its owner’s control. It’s an enchantment. (It’s not a creature.)		2	1		
Everquill Phoenix	2RR	Creature — Phoenix 	Mutate 3R (If you cast this spell for its mutate cost, put it over or under target non-Human creature you own. They mutate into the creature on top plus all abilities from under it.)\n Flying\n Whenever this creature mutates, create a red artifact token named Feather with “, Sacrifice this token: Return target Phoenix card from your graveyard to the battlefield tapped.”		4	4		
Feather, Radiant Arbiter	RWW	Legendary Creature — Angel 	Flying, lifelink\n Whenever you cast a noncreature spell that targets only Feather, you may choose any number of other creatures that spell could target and pay  for each of those creatures. If you do, for each of those creatures, copy that spell. The copy targets that creature. (Copies of permanent spells become tokens.)		4	3		
Feather, the Redeemed	RWW	Legendary Creature — Angel 	Flying\n Whenever you cast an instant or sorcery spell that targets a creature you control, exile that card instead of putting it into your graveyard as it resolves. If you do, return it to your hand at the beginning of the next end step.		3	4		
Kediss, Emberclaw Familiar	1R	Legendary Creature — Elemental Lizard 	Whenever a commander you control deals combat damage to an opponent, it deals that much damage to each other opponent.\n Partner (You can have two commanders if both have partner.)		1	1		
Mavinda, Students' Advocate	2W	Legendary Creature — Bird Advisor 	Flying\n 0: You may cast target instant or sorcery card from your graveyard this turn. If that spell doesn’t target a creature you control, it costs 8 more to cast this way. If that spell would be put into your graveyard, exile it instead. Activate only once each turn. (You still pay the spell’s costs. Timing rules for the spell still apply.)		2	3		
Molten Gatekeeper	2R	Artifact Creature — Golem 	Whenever another creature you control enters, this creature deals 1 damage to each opponent.\n Unearth R (R: Return this card from your graveyard to the battlefield. It gains haste. Exile it at the beginning of the end step or if it would leave the battlefield. Unearth only as a sorcery.)		2	3		
Regal Leosaur	RW	Creature — Dinosaur Cat 	Mutate 1R/WR/W (If you cast this spell for its mutate cost, put it over or under target non-Human creature you own. They mutate into the creature on top plus all abilities from under it.)\n Whenever this creature mutates, other creatures you control get +2/+1 until end of turn.		2	2		
Stormsplitter	3R	Creature — Otter Wizard 	Haste\n Whenever you cast an instant or sorcery spell, create a token that’s a copy of this creature. Exile that token at the beginning of the next end step.		1	4		
Welcoming Vampire	2W	Creature — Vampire 	Flying\n Whenever one or more other creatures you control with power 2 or less enter, draw a card. This ability triggers only once each turn.		2	3		
Witch Enchanter	3W	Creature — Human Warlock 	When this creature enters, destroy target artifact or enchantment an opponent controls.					Witch-Blessed Meadow		Land	As this land enters, you may pay 3 life. If you don’t, it enters tapped.\n T: Add W.					
Case of the Burning Masks	1RR	Enchantment — Case 	When this Case enters, it deals 3 damage to target creature an opponent controls.\n To solve — Three or more sources you controlled dealt damage this turn. (If unsolved, solve at the beginning of your end step.)\n Solved — Sacrifice this Case: Exile the top three cards of your library. Choose one of them. You may play that card this turn.					
Flaming Fist	2W	Legendary Enchantment — Background 	Commander creatures you own have “Whenever this creature attacks, it gains double strike until end of turn.”					
Guild Artisan	1R	Legendary Enchantment — Background 	Commander creatures you own have “Whenever this creature attacks a player, if no opponent has more life than that player, you create two Treasure tokens.” (They’re artifacts with “T, Sacrifice this token: Add one mana of any color.”)					
Inspiring Leader	2W	Legendary Enchantment — Background 	Commander creatures you own have “Creature tokens you control get +2/+2.”					
Leyline of Resonance	2RR	Enchantment	If this card is in your opening hand, you may begin the game with it on the battlefield.\n Whenever you cast an instant or sorcery spell that targets only a single creature you control, copy that spell. You may choose new targets for the copy.					
Raid Bombardment	2R	Enchantment	Whenever a creature you control with power 2 or less attacks, this enchantment deals 1 damage to the player or planeswalker that creature is attacking.					
Reconnaissance	W	Enchantment	0: Remove target attacking creature you control from combat and untap it. (If you activate during end of combat, the creature will untap after it deals combat damage.)					
Sentinel's Eyes	W	Enchantment — Aura 	Enchant creature\n Enchanted creature gets +1/+1 and has vigilance.\n Escape—W, Exile two other cards from your graveyard. (You may cast this card from your graveyard for its escape cost.)					
Showdown of the Skalds	2RW	Enchantment — Saga 	(As this Saga enters and after your draw step, add a lore counter. Sacrifice after III.)\n I — Exile the top four cards of your library. Until the end of your next turn, you may play those cards.\n II, III — Whenever you cast a spell this turn, put a +1/+1 counter on target creature you control.\n ​					
